year,country,state,month,number,date
2013,Brazil,Santa Catarina,Apr,46,1/1/2013
2003,Brazil,Maranhao,Oct,6085,1/1/2003
2016,Brazil,Rio,Apr,32,1/1/2016
2008,Brazil,Goias,Oct,1231,1/1/2008
2012,Brazil,Amazonas,Jan,6,1/1/2012
2006,Brazil,Paraiba,Mar,56,1/1/2006
2000,Brazil,Pernambuco,Apr,1,1/1/2000
2008,Brazil,Espirito Santo,Jan,12,1/1/2008
2014,Brazil,Minas Gerais,Aug,1952,1/1/2014
1998,Brazil,Minas Gerais,Aug,875,1/1/1998
2004,Brazil,Rondonia,Apr,14,1/1/2004
2009,Brazil,Para,Dez,2832,1/1/2009
2013,Brazil,Para,Jul,447,1/1/2013
1999,Brazil,Piau,Sep,872,1/1/1999
2000,Brazil,Rio,May,4,1/1/2000
2011,Brazil,Goias,Mar,19,1/1/2011
2003,Brazil,Maranhao,Feb,11,1/1/2003
2006,Brazil,Amapa,Apr,0,1/1/2006
2016,Brazil,Minas Gerais,Sep,2093,1/1/2016
2012,Brazil,Paraiba,Feb,40,1/1/2012
2011,Brazil,Espirito Santo,May,2,1/1/2011
2004,Brazil,Piau,May,80,1/1/2004
2016,Brazil,Santa Catarina,Jan,53,1/1/2016
1998,Brazil,Para,Apr,0,1/1/1998
2000,Brazil,Rondonia,Nov,13,1/1/2000
2014,Brazil,Rio,Aug,199,1/1/2014
2010,Brazil,Santa Catarina,Jan,2,1/1/2010
2014,Brazil,Espirito Santo,Jun,9,1/1/2014
2007,Brazil,Acre,Jul,29,1/1/2007
1999,Brazil,Rio,Aug,24,1/1/1999
2008,Brazil,Santa Catarina,Jan,25,1/1/2008
2009,Brazil,Amazonas,Jul,199,1/1/2009
2013,Brazil,Sao Paulo,Jul,181,1/1/2013
2001,Brazil,Tocantins,Nov,100,1/1/2001
2003,Brazil,Maranhao,Apr,79,1/1/2003
2009,Brazil,Maranhao,May,19,1/1/2009
2003,Brazil,Amapa,Apr,2,1/1/2003
2013,Brazil,Maranhao,Aug,2098,1/1/2013
2016,Brazil,Rondonia,Apr,59,1/1/2016
2007,Brazil,Tocantins,Feb,8,1/1/2007
2005,Brazil,Paraiba,Oct,155,1/1/2005
2005,Brazil,Rio,Apr,1,1/1/2005
2017,Brazil,Espirito Santo,Apr,7,1/1/2017
2001,Brazil,Paraiba,Aug,34,1/1/2001
2005,Brazil,Rio,Jul,47,1/1/2005
2003,Brazil,Goias,Feb,47,1/1/2003
1998,Brazil,Ceara,Aug,93,1/1/1998
2011,Brazil,Sergipe,Apr,12,1/1/2011
2014,Brazil,Minas Gerais,Mar,77,1/1/2014
1998,Brazil,Minas Gerais,Jul,232,1/1/1998
2008,Brazil,Mato Grosso,Mar,97,1/1/2008
2014,Brazil,Mato Grosso,Jun,84,1/1/2014
2000,Brazil,Pernambuco,Feb,4,1/1/2000
2004,Brazil,Goias,Feb,11,1/1/2004
2004,Brazil,Maranhao,Dez,3255,1/1/2004
2013,Brazil,Paraiba,Mar,3,1/1/2013
2002,Brazil,Maranhao,Feb,116,1/1/2002
2005,Brazil,Goias,Oct,1717,1/1/2005
1998,Brazil,Ceara,Sep,590,1/1/1998
2014,Brazil,Alagoas,May,1,1/1/2014
1999,Brazil,Bahia,Jul,107,1/1/1999
2009,Brazil,Amapa,Jan,4,1/1/2009
2000,Brazil,Tocantins,Sep,2552,1/1/2000
1998,Brazil,Distrito Federal,Apr,0,1/1/1998
2009,Brazil,Rio,May,177,1/1/2009
2015,Brazil,Paraiba,Nov,18,1/1/2015
2001,Brazil,Maranhao,Oct,6661,1/1/2001
2008,Brazil,Distrito Federal,Nov,4,1/1/2008
2010,Brazil,Ceara,Jun,3,1/1/2010
2010,Brazil,Para,Mar,110,1/1/2010
2005,Brazil,Amazonas,Sep,2812,1/1/2005
1999,Brazil,Sao Paulo,Apr,291,1/1/1999
2004,Brazil,Rondonia,May,9,1/1/2004
2010,Brazil,Ceara,Nov,1652,1/1/2010
2009,Brazil,Sao Paulo,Mar,55,1/1/2009
2015,Brazil,Amazonas,Jun,33,1/1/2015
2006,Brazil,Minas Gerais,Feb,96,1/1/2006
2016,Brazil,Amapa,Dez,491,1/1/2016
2004,Brazil,Ceara,May,3,1/1/2004
2005,Brazil,Maranhao,Jan,450,1/1/2005
2009,Brazil,Goias,Jul,470,1/1/2009
2006,Brazil,Minas Gerais,Nov,59,1/1/2006
1999,Brazil,Amazonas,Feb,43,1/1/1999
2007,Brazil,Rio,Oct,88,1/1/2007
2002,Brazil,Alagoas,Nov,50,1/1/2002
2008,Brazil,Sergipe,Apr,2,1/1/2008
2014,Brazil,Piau,Oct,1788,1/1/2014
2005,Brazil,Para,Sep,9032,1/1/2005
2005,Brazil,Ceara,Sep,185,1/1/2005
2004,Brazil,Amapa,Oct,412,1/1/2004
2014,Brazil,Sao Paulo,Mar,75,1/1/2014
2007,Brazil,Amazonas,May,0,1/1/2007
1998,Brazil,Sergipe,May,0,1/1/1998
2017,Brazil,Rio,Nov,137,1/1/2017
2013,Brazil,Sao Paulo,Sep,560,1/1/2013
2016,Brazil,Maranhao,Jul,2096,1/1/2016
2017,Brazil,Goias,Aug,1492,1/1/2017
2014,Brazil,Alagoas,Mar,28,1/1/2014
2015,Brazil,Acre,May,2,1/1/2015
2004,Brazil,Mato Grosso,Dez,110,1/1/2004
2016,Brazil,Espirito Santo,Dez,12,1/1/2016
2005,Brazil,Maranhao,Oct,6472,1/1/2005
2005,Brazil,Piau,Nov,1599,1/1/2005
2003,Brazil,Acre,Jun,0,1/1/2003
2004,Brazil,Piau,Apr,10,1/1/2004
2014,Brazil,Rio,Aug,21,1/1/2014
2006,Brazil,Goias,May,33,1/1/2006
2008,Brazil,Ceara,Feb,12,1/1/2008
1998,Brazil,Piau,Mar,0,1/1/1998
2010,Brazil,Mato Grosso,Mar,149,1/1/2010
2017,Brazil,Distrito Federal,Aug,147,1/1/2017
2009,Brazil,Distrito Federal,Jul,33,1/1/2009
2005,Brazil,Paraiba,Jan,178,1/1/2005
2004,Brazil,Roraima,Sep,9,1/1/2004
2004,Brazil,Roraima,Apr,182,1/1/2004
2014,Brazil,Piau,Feb,14,1/1/2014
2009,Brazil,Piau,Aug,790,1/1/2009
2016,Brazil,Rio,Nov,93,1/1/2016
1998,Brazil,Amapa,Jul,0,1/1/1998
2006,Brazil,Amazonas,May,4,1/1/2006
2002,Brazil,Rondonia,Jul,539,1/1/2002
2009,Brazil,Rio,Sep,29,1/1/2009
2013,Brazil,Rio,Jun,17,1/1/2013
2007,Brazil,Ceara,Feb,3,1/1/2007
2004,Brazil,Ceara,Jan,143,1/1/2004
2003,Brazil,Goias,Nov,168,1/1/2003
2001,Brazil,Rondonia,Aug,2132,1/1/2001
1999,Brazil,Rio,Apr,1,1/1/1999
2016,Brazil,Maranhao,May,206,1/1/2016
2004,Brazil,Rio,Sep,47,1/1/2004
2012,Brazil,Roraima,Feb,130,1/1/2012
2008,Brazil,Acre,Feb,0,1/1/2008
2013,Brazil,Paraiba,Jan,38,1/1/2013
2009,Brazil,Pernambuco,May,0,1/1/2009
2002,Brazil,Alagoas,Jan,12,1/1/2002
1999,Brazil,Roraima,Mar,98,1/1/1999
2017,Brazil,Distrito Federal,Mar,0,1/1/2017
2005,Brazil,Rio,Oct,168,1/1/2005
2013,Brazil,Rio,Apr,7,1/1/2013
2013,Brazil,Sergipe,Sep,1,1/1/2013
2006,Brazil,Sergipe,Feb,36,1/1/2006
2010,Brazil,Alagoas,May,0,1/1/2010
2011,Brazil,Paraiba,Apr,38,1/1/2011
2013,Brazil,Bahia,Sep,2681,1/1/2013
2010,Brazil,Paraiba,Mar,22,1/1/2010
1998,Brazil,Mato Grosso,Jan,0,1/1/1998
2000,Brazil,Tocantins,Oct,1053,1/1/2000
2011,Brazil,Sao Paulo,Feb,73,1/1/2011
2016,Brazil,Maranhao,Dez,1577,1/1/2016
2004,Brazil,Espirito Santo,Nov,42,1/1/2004
1998,Brazil,Paraiba,Apr,0,1/1/1998
2009,Brazil,Para,Feb,15,1/1/2009
2009,Brazil,Sao Paulo,Nov,83,1/1/2009
2015,Brazil,Amapa,Jul,5,1/1/2015
2014,Brazil,Amazonas,Apr,25,1/1/2014
2003,Brazil,Santa Catarina,Jun,68,1/1/2003
2016,Brazil,Amapa,Nov,1161,1/1/2016
2007,Brazil,Rio,Oct,137,1/1/2007
1999,Brazil,Ceara,Jan,47,1/1/1999
2003,Brazil,Amapa,Jul,0,1/1/2003
2003,Brazil,Maranhao,Jun,338,1/1/2003
1999,Brazil,Tocantins,Jun,113,1/1/1999
2017,Brazil,Alagoas,Jan,38,1/1/2017
2011,Brazil,Distrito Federal,Nov,1,1/1/2011
2008,Brazil,Rondonia,Jul,138,1/1/2008
2015,Brazil,Pernambuco,Aug,21,1/1/2015
2011,Brazil,Sao Paulo,May,136,1/1/2011
1999,Brazil,Paraiba,Jul,1,1/1/1999
2011,Brazil,Acre,Oct,97,1/1/2011
2006,Brazil,Bahia,Feb,277,1/1/2006
2014,Brazil,Piau,May,138,1/1/2014
2010,Brazil,Acre,Sep,2531,1/1/2010
2017,Brazil,Bahia,Feb,100,1/1/2017
2007,Brazil,Para,Oct,2504,1/1/2007
2010,Brazil,Para,Apr,22,1/1/2010
2009,Brazil,Piau,Jun,56,1/1/2009
2016,Brazil,Amazonas,May,30,1/1/2016
2009,Brazil,Rio,Jan,65,1/1/2009
1999,Brazil,Alagoas,Feb,20,1/1/1999
2007,Brazil,Espirito Santo,Apr,2,1/1/2007
2014,Brazil,Rondonia,Mar,13,1/1/2014
2014,Brazil,Distrito Federal,Jan,0,1/1/2014
2011,Brazil,Paraiba,Jan,11,1/1/2011
2017,Brazil,Roraima,Feb,129,1/1/2017
2015,Brazil,Rio,Feb,15,1/1/2015
2001,Brazil,Distrito Federal,Mar,0,1/1/2001
2003,Brazil,Espirito Santo,Jan,4,1/1/2003
2016,Brazil,Para,Jun,502,1/1/2016
2001,Brazil,Para,Feb,16,1/1/2001
2006,Brazil,Paraiba,Apr,49,1/1/2006
2004,Brazil,Amazonas,Sep,911,1/1/2004
2014,Brazil,Amazonas,Jul,202,1/1/2014
2009,Brazil,Rio,Mar,5,1/1/2009
1999,Brazil,Mato Grosso,Jan,239,1/1/1999
2009,Brazil,Paraiba,Nov,428,1/1/2009
2005,Brazil,Piau,May,22,1/1/2005
2000,Brazil,Mato Grosso,Oct,6062,1/1/2000
2007,Brazil,Sergipe,May,0,1/1/2007
2008,Brazil,Ceara,Nov,1753,1/1/2008
2014,Brazil,Mato Grosso,Aug,7167,1/1/2014
1999,Brazil,Espirito Santo,May,16,1/1/1999
2000,Brazil,Espirito Santo,Jul,16,1/1/2000
2006,Brazil,Tocantins,Jun,289,1/1/2006
2000,Brazil,Maranhao,Nov,2267,1/1/2000
2004,Brazil,Mato Grosso,Jan,301,1/1/2004
2017,Brazil,Alagoas,Jun,2,1/1/2017
2003,Brazil,Rio,Jun,13,1/1/2003
2003,Brazil,Acre,Sep,3942,1/1/2003
2013,Brazil,Sergipe,Jan,34,1/1/2013
2014,Brazil,Goias,Mar,80,1/1/2014
2006,Brazil,Paraiba,Dez,196,1/1/2006
2008,Brazil,Amazonas,Nov,39,1/1/2008
2013,Brazil,Tocantins,Sep,2445,1/1/2013
1998,Brazil,Piau,Feb,0,1/1/1998
2001,Brazil,Rio,Jun,13,1/1/2001
2003,Brazil,Pernambuco,Mar,9,1/1/2003
2003,Brazil,Santa Catarina,Mar,58,1/1/2003
2016,Brazil,Espirito Santo,Jun,49,1/1/2016
2005,Brazil,Pernambuco,May,1,1/1/2005
2001,Brazil,Goias,Jan,29,1/1/2001
2014,Brazil,Sergipe,Aug,0,1/1/2014
2016,Brazil,Roraima,Mar,1081,1/1/2016
2001,Brazil,Acre,Jan,0,1/1/2001
2003,Brazil,Alagoas,Apr,20,1/1/2003
2014,Brazil,Amapa,Sep,137,1/1/2014
2004,Brazil,Tocantins,Jun,1079,1/1/2004
2017,Brazil,Amapa,Sep,95,1/1/2017
2008,Brazil,Para,Feb,54,1/1/2008
2015,Brazil,Amapa,Apr,0,1/1/2015
2001,Brazil,Rio,Jun,1,1/1/2001
2004,Brazil,Rio,May,0,1/1/2004
2001,Brazil,Rio,Aug,55,1/1/2001
2009,Brazil,Paraiba,Aug,4,1/1/2009
1998,Brazil,Paraiba,Jun,36,1/1/1998
2010,Brazil,Espirito Santo,Feb,15,1/1/2010
2002,Brazil,Minas Gerais,Jul,741,1/1/2002
2003,Brazil,Piau,Apr,22,1/1/2003
2013,Brazil,Alagoas,Nov,10,1/1/2013
2000,Brazil,Acre,Sep,265,1/1/2000
1999,Brazil,Para,Dez,766,1/1/1999
1999,Brazil,Paraiba,May,0,1/1/1999
2004,Brazil,Alagoas,Jan,9,1/1/2004
2012,Brazil,Goias,Jun,245,1/1/2012
2010,Brazil,Rio,Aug,24,1/1/2010
2000,Brazil,Amazonas,Oct,145,1/1/2000
2007,Brazil,Para,Apr,0,1/1/2007
2014,Brazil,Amapa,Mar,1,1/1/2014
2006,Brazil,Ceara,Sep,237,1/1/2006
2011,Brazil,Amazonas,Dez,121,1/1/2011
1998,Brazil,Santa Catarina,Jun,2,1/1/1998
1998,Brazil,Roraima,Jan,0,1/1/1998
2009,Brazil,Rio,Aug,1,1/1/2009
2007,Brazil,Acre,Nov,7,1/1/2007
2015,Brazil,Espirito Santo,Oct,307,1/1/2015
2003,Brazil,Mato Grosso,Jul,5435,1/1/2003
2013,Brazil,Rio,Oct,71,1/1/2013
2010,Brazil,Bahia,Feb,206,1/1/2010
2006,Brazil,Paraiba,Feb,7,1/1/2006
2005,Brazil,Minas Gerais,Aug,1029,1/1/2005
2012,Brazil,Mato Grosso,Nov,115,1/1/2012
2005,Brazil,Piau,Jun,171,1/1/2005
2014,Brazil,Minas Gerais,Apr,161,1/1/2014
2012,Brazil,Rondonia,Oct,1229,1/1/2012
1998,Brazil,Paraiba,Oct,61,1/1/1998
2017,Brazil,Piau,Mar,25,1/1/2017
2004,Brazil,Amazonas,Apr,4,1/1/2004
2003,Brazil,Acre,Dez,1,1/1/2003
2005,Brazil,Distrito Federal,May,2,1/1/2005
2010,Brazil,Tocantins,Dez,72,1/1/2010
2011,Brazil,Amazonas,Aug,1243,1/1/2011
2015,Brazil,Rondonia,Jan,30,1/1/2015
2001,Brazil,Rio,Apr,2,1/1/2001
2007,Brazil,Minas Gerais,Oct,3467,1/1/2007
2015,Brazil,Paraiba,Sep,48,1/1/2015
2017,Brazil,Bahia,Jul,300,1/1/2017
2017,Brazil,Sergipe,Apr,8,1/1/2017
2008,Brazil,Rio,Sep,17,1/1/2008
2016,Brazil,Mato Grosso,Aug,6228,1/1/2016
2015,Brazil,Maranhao,Jul,1642,1/1/2015
2000,Brazil,Maranhao,Dez,1461,1/1/2000
2010,Brazil,Pernambuco,Dez,117,1/1/2010
2001,Brazil,Paraiba,Jul,122,1/1/2001
2002,Brazil,Para,Apr,11,1/1/2002
2011,Brazil,Roraima,Mar,91,1/1/2011
2005,Brazil,Alagoas,Nov,25,1/1/2005
2007,Brazil,Alagoas,Sep,2,1/1/2007
2005,Brazil,Amazonas,May,8,1/1/2005
2007,Brazil,Espirito Santo,Mar,9,1/1/2007
2001,Brazil,Ceara,Nov,2456,1/1/2001
2005,Brazil,Roraima,Sep,72,1/1/2005
2002,Brazil,Ceara,Sep,172,1/1/2002
2011,Brazil,Goias,Apr,71,1/1/2011
2008,Brazil,Paraiba,Oct,78,1/1/2008
2015,Brazil,Tocantins,Jun,115,1/1/2015
2005,Brazil,Ceara,Jan,384,1/1/2005
2004,Brazil,Rio,Oct,680,1/1/2004
1999,Brazil,Distrito Federal,Feb,2,1/1/1999
2017,Brazil,Paraiba,Nov,101,1/1/2017
2007,Brazil,Piau,Mar,31,1/1/2007
2005,Brazil,Sao Paulo,Oct,221,1/1/2005
2015,Brazil,Rio,Jan,51,1/1/2015
2015,Brazil,Paraiba,Oct,158,1/1/2015
2011,Brazil,Bahia,Jan,101,1/1/2011
2011,Brazil,Goias,Jan,39,1/1/2011
2015,Brazil,Piau,Feb,38,1/1/2015
2004,Brazil,Tocantins,Jan,40,1/1/2004
2015,Brazil,Paraiba,Jan,42,1/1/2015
2011,Brazil,Tocantins,May,354,1/1/2011
2002,Brazil,Sergipe,Jun,0,1/1/2002
2007,Brazil,Mato Grosso,Nov,82,1/1/2007
2017,Brazil,Rio,Aug,819,1/1/2017
2017,Brazil,Rio,Jan,28,1/1/2017
2013,Brazil,Distrito Federal,Feb,1,1/1/2013
2014,Brazil,Mato Grosso,Feb,199,1/1/2014
2006,Brazil,Roraima,Jun,0,1/1/2006
2007,Brazil,Piau,Oct,2331,1/1/2007
2013,Brazil,Para,Mar,19,1/1/2013
2012,Brazil,Minas Gerais,Feb,123,1/1/2012
2000,Brazil,Para,Dez,1698,1/1/2000
2016,Brazil,Goias,Feb,117,1/1/2016
2005,Brazil,Amazonas,Jan,44,1/1/2005
2017,Brazil,Rio,Apr,6,1/1/2017
2006,Brazil,Paraiba,Nov,60,1/1/2006
2012,Brazil,Distrito Federal,Mar,0,1/1/2012
2013,Brazil,Minas Gerais,Aug,911,1/1/2013
2017,Brazil,Mato Grosso,Jan,482,1/1/2017
2012,Brazil,Paraiba,Jan,31,1/1/2012
2003,Brazil,Alagoas,Jan,150,1/1/2003
2013,Brazil,Ceara,May,4,1/1/2013
2006,Brazil,Mato Grosso,Jun,856,1/1/2006
2002,Brazil,Espirito Santo,May,5,1/1/2002
2003,Brazil,Sergipe,Feb,50,1/1/2003
2003,Brazil,Mato Grosso,Sep,1579,1/1/2003
2013,Brazil,Rio,Aug,156,1/1/2013
1999,Brazil,Rio,Feb,0,1/1/1999
2003,Brazil,Santa Catarina,May,84,1/1/2003
2016,Brazil,Mato Grosso,Jul,3495,1/1/2016
2009,Brazil,Sergipe,Sep,1,1/1/2009
2013,Brazil,Distrito Federal,May,2,1/1/2013
1999,Brazil,Sao Paulo,Jun,522,1/1/1999
2015,Brazil,Acre,Sep,2928,1/1/2015
2000,Brazil,Paraiba,Sep,381,1/1/2000
2013,Brazil,Rio,May,16,1/1/2013
2004,Brazil,Ceara,Oct,1217,1/1/2004
2009,Brazil,Mato Grosso,Apr,169,1/1/2009
2012,Brazil,Acre,May,3,1/1/2012
2009,Brazil,Distrito Federal,Dez,0,1/1/2009
1999,Brazil,Mato Grosso,Mar,100,1/1/1999
2000,Brazil,Piau,Feb,12,1/1/2000
2015,Brazil,Mato Grosso,Feb,542,1/1/2015
2017,Brazil,Maranhao,May,142,1/1/2017
2012,Brazil,Goias,Feb,37,1/1/2012
2007,Brazil,Sao Paulo,Jan,14,1/1/2007
2014,Brazil,Espirito Santo,Dez,28,1/1/2014
2008,Brazil,Amapa,Jul,0,1/1/2008
2003,Brazil,Santa Catarina,Apr,120,1/1/2003
2009,Brazil,Distrito Federal,Jan,1,1/1/2009
2015,Brazil,Mato Grosso,Jul,371,1/1/2015
2005,Brazil,Roraima,Jan,106,1/1/2005
2016,Brazil,Sergipe,Jul,0,1/1/2016
2013,Brazil,Rio,Oct,104,1/1/2013
2014,Brazil,Santa Catarina,Nov,43,1/1/2014
2000,Brazil,Acre,Apr,1,1/1/2000
2002,Brazil,Rio,Feb,38,1/1/2002
2009,Brazil,Ceara,Jun,0,1/1/2009
2000,Brazil,Mato Grosso,Dez,139,1/1/2000
2017,Brazil,Sergipe,Nov,1,1/1/2017
2002,Brazil,Maranhao,Apr,28,1/1/2002
2011,Brazil,Mato Grosso,Sep,1072,1/1/2011
2007,Brazil,Paraiba,Apr,0,1/1/2007
2015,Brazil,Espirito Santo,Sep,228,1/1/2015
2012,Brazil,Tocantins,Nov,179,1/1/2012
2010,Brazil,Espirito Santo,Oct,32,1/1/2010
2007,Brazil,Amazonas,Apr,0,1/1/2007
2000,Brazil,Piau,Nov,450,1/1/2000
2015,Brazil,Para,May,95,1/1/2015
2010,Brazil,Piau,Nov,1417,1/1/2010
2004,Brazil,Ceara,Nov,29,1/1/2004
2016,Brazil,Roraima,Jun,7,1/1/2016
2006,Brazil,Piau,Nov,740,1/1/2006
2001,Brazil,Espirito Santo,Aug,30,1/1/2001
2016,Brazil,Goias,Apr,167,1/1/2016
2008,Brazil,Amazonas,Apr,13,1/1/2008
1999,Brazil,Goias,Jul,311,1/1/1999
2012,Brazil,Sergipe,Aug,0,1/1/2012
2001,Brazil,Para,Nov,4938,1/1/2001
2002,Brazil,Santa Catarina,Sep,416,1/1/2002
2012,Brazil,Paraiba,Jun,77,1/1/2012
1998,Brazil,Sergipe,Feb,0,1/1/1998
2008,Brazil,Para,Dez,684,1/1/2008
2009,Brazil,Maranhao,Jan,240,1/1/2009
2012,Brazil,Paraiba,Jan,61,1/1/2012
2016,Brazil,Mato Grosso,Mar,143,1/1/2016
2003,Brazil,Rio,Mar,1,1/1/2003
2004,Brazil,Acre,Aug,645,1/1/2004
1999,Brazil,Rondonia,Mar,8,1/1/1999
1998,Brazil,Bahia,Oct,1969,1/1/1998
2017,Brazil,Amazonas,Aug,6316,1/1/2017
2013,Brazil,Sao Paulo,Aug,497,1/1/2013
2001,Brazil,Ceara,Feb,0,1/1/2001
2002,Brazil,Pernambuco,Feb,19,1/1/2002
2014,Brazil,Maranhao,Jul,2068,1/1/2014
1998,Brazil,Mato Grosso,Oct,576,1/1/1998
2004,Brazil,Bahia,Nov,1736,1/1/2004
1998,Brazil,Mato Grosso,Jul,3712,1/1/1998
2017,Brazil,Amapa,Nov,858,1/1/2017
2003,Brazil,Maranhao,Mar,16,1/1/2003
2012,Brazil,Piau,Sep,4479,1/1/2012
1999,Brazil,Maranhao,Jul,258,1/1/1999
2005,Brazil,Bahia,Dez,116,1/1/2005
2011,Brazil,Sergipe,Nov,4,1/1/2011
2016,Brazil,Amapa,Oct,793,1/1/2016
1998,Brazil,Santa Catarina,Feb,0,1/1/1998
2001,Brazil,Distrito Federal,Dez,1,1/1/2001
2008,Brazil,Santa Catarina,Apr,31,1/1/2008
2015,Brazil,Piau,Jun,283,1/1/2015
2015,Brazil,Ceara,Nov,1081,1/1/2015
2009,Brazil,Sergipe,Jan,60,1/1/2009
2017,Brazil,Pernambuco,Jul,2,1/1/2017
2012,Brazil,Amazonas,May,12,1/1/2012
2012,Brazil,Sao Paulo,Oct,206,1/1/2012
2012,Brazil,Paraiba,Mar,4,1/1/2012
2009,Brazil,Rio,Apr,1,1/1/2009
2010,Brazil,Roraima,May,3,1/1/2010
2009,Brazil,Alagoas,Nov,55,1/1/2009
1998,Brazil,Para,Jan,0,1/1/1998
1998,Brazil,Amapa,Apr,0,1/1/1998
2005,Brazil,Para,Apr,14,1/1/2005
2000,Brazil,Acre,Dez,0,1/1/2000
2005,Brazil,Espirito Santo,Apr,4,1/1/2005
2002,Brazil,Minas Gerais,Dez,225,1/1/2002
2007,Brazil,Piau,Sep,4078,1/1/2007
2000,Brazil,Paraiba,Feb,11,1/1/2000
2017,Brazil,Piau,Jun,193,1/1/2017
1998,Brazil,Paraiba,May,0,1/1/1998
2011,Brazil,Rondonia,Aug,1161,1/1/2011
2005,Brazil,Acre,Apr,1,1/1/2005
2001,Brazil,Goias,Mar,10,1/1/2001
2007,Brazil,Mato Grosso,Sep,25963,1/1/2007
2015,Brazil,Bahia,Feb,143,1/1/2015
2000,Brazil,Ceara,Apr,15,1/1/2000
2003,Brazil,Amapa,Dez,411,1/1/2003
2004,Brazil,Maranhao,May,145,1/1/2004
2001,Brazil,Sergipe,Jan,2,1/1/2001
2009,Brazil,Sergipe,Apr,19,1/1/2009
2002,Brazil,Amapa,Sep,73,1/1/2002
1999,Brazil,Paraiba,Oct,452,1/1/1999
2013,Brazil,Amazonas,Feb,16,1/1/2013
2009,Brazil,Goias,Nov,89,1/1/2009
2006,Brazil,Para,Jan,403,1/1/2006
2012,Brazil,Distrito Federal,Oct,15,1/1/2012
2003,Brazil,Paraiba,Apr,0,1/1/2003
2004,Brazil,Alagoas,Jul,0,1/1/2004
2005,Brazil,Paraiba,Dez,40,1/1/2005
2008,Brazil,Sergipe,Sep,0,1/1/2008
1998,Brazil,Paraiba,Feb,0,1/1/1998
2015,Brazil,Rio,Nov,30,1/1/2015
1998,Brazil,Roraima,Aug,0,1/1/1998
2007,Brazil,Ceara,Nov,1443,1/1/2007
2003,Brazil,Ceara,Oct,1761,1/1/2003
2007,Brazil,Acre,Jan,0,1/1/2007
2013,Brazil,Bahia,Jul,362,1/1/2013
2004,Brazil,Distrito Federal,Sep,100,1/1/2004
2013,Brazil,Rio,Jun,1,1/1/2013
2011,Brazil,Para,Apr,10,1/1/2011
1999,Brazil,Ceara,Mar,30,1/1/1999
2017,Brazil,Tocantins,Feb,25,1/1/2017
2001,Brazil,Rio,Nov,41,1/1/2001
2001,Brazil,Paraiba,Oct,279,1/1/2001
2002,Brazil,Roraima,Jun,0,1/1/2002
2004,Brazil,Para,Oct,4726,1/1/2004
2006,Brazil,Amazonas,Jul,123,1/1/2006
2010,Brazil,Tocantins,Aug,7865,1/1/2010
1999,Brazil,Sergipe,May,0,1/1/1999
2006,Brazil,Alagoas,Aug,1,1/1/2006
2016,Brazil,Maranhao,Jun,709,1/1/2016
2008,Brazil,Goias,Aug,568,1/1/2008
2016,Brazil,Sergipe,Apr,14,1/1/2016
2016,Brazil,Paraiba,Apr,167,1/1/2016
2014,Brazil,Alagoas,Dez,24,1/1/2014
2005,Brazil,Amapa,Jul,0,1/1/2005
2006,Brazil,Espirito Santo,Oct,10,1/1/2006
2004,Brazil,Paraiba,Nov,388,1/1/2004
2003,Brazil,Sao Paulo,Oct,422,1/1/2003
2009,Brazil,Rio,Mar,41,1/1/2009
2000,Brazil,Paraiba,May,43,1/1/2000
2005,Brazil,Maranhao,Nov,4769,1/1/2005
2005,Brazil,Roraima,Jun,5,1/1/2005
1998,Brazil,Sao Paulo,Feb,0,1/1/1998
2002,Brazil,Paraiba,Jul,172,1/1/2002
2007,Brazil,Sao Paulo,Nov,50,1/1/2007
2015,Brazil,Distrito Federal,Dez,0,1/1/2015
1999,Brazil,Sergipe,Apr,6,1/1/1999
2015,Brazil,Alagoas,Jun,2,1/1/2015
2015,Brazil,Paraiba,Jul,3,1/1/2015
2017,Brazil,Amapa,Feb,0,1/1/2017
2000,Brazil,Bahia,Jul,202,1/1/2000
2016,Brazil,Acre,Mar,0,1/1/2016
2007,Brazil,Rio,May,3,1/1/2007
2015,Brazil,Para,Aug,7913,1/1/2015
2016,Brazil,Rio,Nov,19,1/1/2016
1999,Brazil,Alagoas,Jun,0,1/1/1999
2008,Brazil,Espirito Santo,Nov,3,1/1/2008
2009,Brazil,Mato Grosso,Mar,325,1/1/2009
2007,Brazil,Sergipe,Mar,2,1/1/2007
2016,Brazil,Tocantins,Jul,2737,1/1/2016
2009,Brazil,Santa Catarina,Jul,26,1/1/2009
2001,Brazil,Pernambuco,Aug,27,1/1/2001
2000,Brazil,Espirito Santo,May,2,1/1/2000
2007,Brazil,Goias,Jun,186,1/1/2007
2009,Brazil,Acre,May,3,1/1/2009
1999,Brazil,Acre,Jan,0,1/1/1999
2007,Brazil,Distrito Federal,Dez,0,1/1/2007
2002,Brazil,Acre,Jun,0,1/1/2002
2006,Brazil,Rio,Aug,642,1/1/2006
2008,Brazil,Para,Jul,971,1/1/2008
2009,Brazil,Amazonas,Apr,1,1/1/2009
2000,Brazil,Roraima,Mar,125,1/1/2000
1998,Brazil,Piau,May,0,1/1/1998
2006,Brazil,Minas Gerais,Jun,73,1/1/2006
1999,Brazil,Paraiba,Jun,1,1/1/1999
2016,Brazil,Santa Catarina,May,26,1/1/2016
2017,Brazil,Bahia,Aug,1018,1/1/2017
2008,Brazil,Roraima,Oct,78,1/1/2008
