year,country,state,month,number,date
2010,Brazil,Sergipe,Mar,44,1/1/2010
2015,Brazil,Acre,Feb,2,1/1/2015
2015,Brazil,Maranhao,Aug,5428,1/1/2015
2006,Brazil,Pernambuco,Dez,207,1/1/2006
2007,Brazil,Acre,May,1,1/1/2007
2015,Brazil,Mato Grosso,Jun,1402,1/1/2015
2003,Brazil,Mato Grosso,Oct,5341,1/1/2003
2005,Brazil,Amapa,Dez,38,1/1/2005
2012,Brazil,Tocantins,Feb,45,1/1/2012
2001,Brazil,Rio,Aug,129,1/1/2001
2003,Brazil,Mato Grosso,Jan,182,1/1/2003
1998,Brazil,Rio,Jan,0,1/1/1998
2006,Brazil,Acre,Dez,0,1/1/2006
2004,Brazil,Rondonia,Jan,30,1/1/2004
2010,Brazil,Ceara,Jan,288,1/1/2010
2011,Brazil,Sao Paulo,Sep,1108,1/1/2011
2013,Brazil,Mato Grosso,Jul,163,1/1/2013
2013,Brazil,Paraiba,Jul,1,1/1/2013
2013,Brazil,Bahia,Mar,363,1/1/2013
1998,Brazil,Alagoas,Dez,32,1/1/1998
2017,Brazil,Maranhao,Jul,2521,1/1/2017
2016,Brazil,Rio,Feb,55,1/1/2016
2002,Brazil,Alagoas,May,1,1/1/2002
2003,Brazil,Bahia,Aug,1039,1/1/2003
2017,Brazil,Rio,Apr,51,1/1/2017
2014,Brazil,Para,Sep,6787,1/1/2014
2007,Brazil,Para,Aug,14352,1/1/2007
2012,Brazil,Goias,Jan,21,1/1/2012
2012,Brazil,Rondonia,May,22,1/1/2012
2001,Brazil,Bahia,Feb,101,1/1/2001
2008,Brazil,Roraima,Jan,245,1/1/2008
2017,Brazil,Ceara,Jan,91,1/1/2017
2005,Brazil,Paraiba,May,125,1/1/2005
2002,Brazil,Rio,Sep,52,1/1/2002
2016,Brazil,Ceara,Apr,10,1/1/2016
2016,Brazil,Distrito Federal,Oct,9,1/1/2016
2007,Brazil,Ceara,Sep,241,1/1/2007
2002,Brazil,Para,Dez,3118,1/1/2002
2017,Brazil,Ceara,Nov,812,1/1/2017
2013,Brazil,Santa Catarina,Mar,14,1/1/2013
2003,Brazil,Piau,May,13,1/1/2003
2004,Brazil,Rio,Mar,149,1/1/2004
2015,Brazil,Rondonia,Jun,119,1/1/2015
2014,Brazil,Acre,Apr,7,1/1/2014
2014,Brazil,Rondonia,Oct,1063,1/1/2014
2007,Brazil,Amazonas,Jul,116,1/1/2007
1998,Brazil,Piau,Apr,0,1/1/1998
2003,Brazil,Santa Catarina,Feb,43,1/1/2003
2014,Brazil,Mato Grosso,Dez,84,1/1/2014
2011,Brazil,Rio,Jun,1,1/1/2011
2005,Brazil,Distrito Federal,Oct,18,1/1/2005
2009,Brazil,Sergipe,Mar,29,1/1/2009
2004,Brazil,Amazonas,May,0,1/1/2004
2002,Brazil,Paraiba,Jun,115,1/1/2002
2007,Brazil,Para,Nov,289,1/1/2007
2000,Brazil,Maranhao,Mar,6,1/1/2000
2002,Brazil,Roraima,Sep,48,1/1/2002
2014,Brazil,Rio,Nov,36,1/1/2014
2009,Brazil,Sergipe,Feb,64,1/1/2009
2012,Brazil,Tocantins,Dez,128,1/1/2012
2007,Brazil,Minas Gerais,Aug,2975,1/1/2007
2010,Brazil,Rondonia,Nov,238,1/1/2010
1999,Brazil,Minas Gerais,Sep,2686,1/1/1999
